"user_id","rank","track","artists","album","release_date","track_url","timeframe"
"12120382831",42,Fantasy - Felix Jaehn Remix,Alina Baraz; Galimatias; Felix Jaehn,Ultra Summer 2 (The Best In Deep and Tropical House),"2015-06-29",https://open.spotify.com/track/203t5YqpCFmIdxj8hIotxo,Short
"12120382831",43,Miami 82 - Kygo Remix,Syn Cole; Kygo,"Armada Deep House Selection, Vol. 3 (The Finest Deep House Tunes)","2014-06-06",https://open.spotify.com/track/2DFT4mdft2yUPs7rX6coSd,Short
"12120382831",44,Good To Sea,Pinback,Autumn of the Seraphs,"2007-09-11",https://open.spotify.com/track/2EH1ZVZx2wPGtQb5V2hNih,Short
"12120382831",45,Don't Don't Do It!,N.E.R.D; Kendrick Lamar; Pharrell Williams,NO ONE EVER REALLY DIES,"2017-12-15",https://open.spotify.com/track/2svutFGaCycRmYc1mWbfQh,Short
"12120382831",46,Horizon,Seven Lions; Tritonal; Kill The Noise; HALIENE,Horizon,"2018-05-18",https://open.spotify.com/track/3F1TIgyzrfdU4dF8c4C75U,Short
"12120382831",47,Mad World (Feat. Michael Andrews),Gary Jules; Michael Andrews,Trading Snakeoil for Wolftickets,"2001-01-01",https://open.spotify.com/track/3JOVTQ5h8HGFnDdp4VT3MP,Short
"12120382831",48,Love$ick (feat. A$AP Rocky),Mura Masa; A$AP Rocky,Mura Masa,"2017-07-14",https://open.spotify.com/track/3sTN90bIP2cJ1783ctHykO,Short
"12120382831",49,Beautiful Trip,Kid Cudi,Man On The Moon III: The Chosen,"2020-12-11",https://open.spotify.com/track/4IIuCotvqijraSdnVLaFnM,Short
"12153521253",15,Tattoos Together,Lauv,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/1Srt81FTalOhRw7t7l8Yh8,Medium
"12153521253",16,Holy (feat. Chance The Rapper),Justin Bieber; Chance the Rapper,Holy,"2020-09-18",https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy,Medium
"12153521253",17,Sims - Miquela Remix,Lauv; Miquela,~how i'm feeling~ (the extras),"2019-12-20",https://open.spotify.com/track/1uxP6Vw86pAvlnuLUSWLll,Medium
"12153521253",18,Who (feat. BTS),Lauv; BTS,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/2qG81jL9UIP54uS8gYyP4k,Medium
"12153521253",19,Sweet & Sour (feat. Lauv & Tyga),Jawsh 685; Lauv; Tyga,Sweet & Sour (feat. Lauv & Tyga),"2020-09-04",https://open.spotify.com/track/3ZWhRS2EJVL5B0IEzkcvZa,Medium
"12153521253",20,Canada (feat. Alessia Cara),Lauv; Alessia Cara,~how i'm feeling~,"2020-03-06",https://open.spotify.com/track/6Rf3dWdNQs5LTqFOiavqQr,Medium
